"Source:","C:\Users\Oskar\Documents\KiCad\6.0\projects\audio-interface-pcm2906\Audio_Interface_rewire.kicad_sch"
"Date:","19/11/2022 11:00:16"
"Tool:","Eeschema (6.0.7)"
"Generator:","D:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","58"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","2200uF","Device:C_Polarized_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","C2","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","C3","2200uF","Device:C_Polarized_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","C4","10uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","","",""
"","","C5","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","C6","10uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","","",""
"","","C7","4u7F","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","","",""
"","","C8","4u7F","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","","",""
"","","C9","10uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","","",""
"","","C10","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","C11","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","C12","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","C13","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","C14","10uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","","",""
"","","C15","27pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","C16","27pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","C17","22uF","Device:C_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","","",""
"","","C18","22uF","Device:C_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","","",""
"","","C19","2200uF  16 V","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","~","","","","","","","",""
"","","C20","2200uF  16 V","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","~","","","","","","","",""
"","","C21","22uF","Device:C_Small","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","","",""
"","","D1","PWR_ON","Device:LED","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","D2","BAT54_R1_00001","Diode:BAT54W","Package_TO_SOT_SMD:SOT-323_SC-70","https://assets.nexperia.com/documents/data-sheet/BAT54W_SER.pdf","","","","","","","",""
"","","D3","CONTINUE","Device:LED","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","IC1","REG103GA-3.3_2K5","global_lib:REG103GA-3.3_2K5","IC_Downloaded:SOT127P706X180-6N","https://www.ti.com/lit/gpn/REG103","REG103GA-3.3/2K5","https://www.arrow.com/en/products/reg103ga-3.32k5/texas-instruments?region=nac","LDO Voltage Regulators DMOS 500mA LDO Reg","1.8","Texas Instruments","REG103GA-3.3/2K5","595-REG103GA-3.3/2K5","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/REG103GA-33-2K5?qs=sSOk4GDDv7x8DgaL5kJlRg%3D%3D"
"","","IC2","PCM2906CDB","global_lib:PCM2906CDB","Package_SO:SOP65P780X200-28N","http://www.ti.com/lit/ds/symlink/pcm2906c.pdf","PCM2906CDB","https://www.arrow.com/en/products/pcm2906cdb/texas-instruments?region=nac","PCM2906CDB, Audio Encoder and Decoder IC Stereo Audio Stereo-channel 16bit- 48kHz USB 28-Pin SSOP","2","Texas Instruments","PCM2906CDB","595-PCM2906CDB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/PCM2906CDB?qs=5kMjoDYFkgh1z8LWKbLx7A%3D%3D"
"","","IC3","INA849DGKT","global_lib:INA849DGKT","IC_Downloaded:SOP65P490X110-8N","https://www.ti.com/lit/gpn/ina849","INA849DGKT","https://www.arrow.com/en/products/ina849dgkt/texas-instruments?region=nac","Instrumentation Amplifiers Ultra-low noise (1 nV/vHz), high-speed (28 MHz, 35 V/), precision (35 V) instrumentation amplifier","1.1","Texas Instruments","INA849DGKT","595-INA849DGKT","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/INA849DGKT?qs=e8oIoAS2J1R6KkZtmpCi2A%3D%3D"
"","","J1","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_B_Lumberg_2411_02_Horizontal","~","","","","","","","",""
"","","J2","Audio_OUT","Connector:AudioJack4_Ground","Connector_Audio:Jack_3.5mm_CUI_SJ1-3535NG_Horizontal","~","","","","","","","",""
"","","J3","N-JFET transistor","Connector:Conn_01x02_Male","Package_TO_SOT_SMD:SOT-23","~","","","","","","","",""
"","","J4","External Mic Conn.","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","~","","","","","","","",""
"","","J5","Vol. knob1 22k","Connector:Conn_01x02_Male","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","~","","","","","","","",""
"","","J6","Vol. knob2 22k","Connector:Conn_01x02_Male","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","~","","","","","","","",""
"","","R1","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R2","1k5","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R3","1k5","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R4","1k5","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R5","1k5","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R6","22","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R7","22","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R8","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R9","1M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R10","2k2","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R11","2k2","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R12","3k9","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R13","3k9","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R14","100","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R15","100","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R16","2k2","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R17","2k2","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","RV3","5k","Device:R_Potentiometer_Small","IC_Downloaded:3362P_1","~","","","","","","","",""
